Unnamed: 0,Author,Comment,PublishedAt,IsReply,my_label,label-4o,label-3.5,label-4preview,label-huggin
1861,@blmbed,This was an absolute masterpiece. I don't think I can ever watch a Kdrama of this caliber again in the next 10 or so years.,2025-04-05T03:01:57Z,FALSE,positive,positive,positive,positive,positive
354,@okaywhatjule,"Iâ€™m definitely now calling Simon Cowell â€œthe Cowellâ€. But seriously, the second act was ruined by the judges just pulling jokes and laughing their butts off. The amount of practice the person put into this act only to be ruined by David Walliams, Alesha and maybe Simon. Itâ€™s so disgraceful to the person.",2023-03-23T17:53:59Z,FALSE,negative,negative,negative,negative,negative
1334,@jlokeepinitreal,They were all looking at sapphira at that moment tho lol I'm just observing,2024-04-24T02:14:00Z,TRUE,neutral,neutral,neutral,neutral,neutral
906,@VexCuomo,"Evil Queen to Mirror: ""Describe Snow White to me."" Mirror: ""Weird, weird.""",2024-12-04T06:35:43Z,FALSE,negative,neutral,neutral,neutral,negative
1290,@jamessantiago1680,"From beginning til the end, Nymphia has truly done it for Taiwan. Congratulations!",2024-04-21T02:53:45Z,TRUE,positive,positive,positive,positive,positive
1274,@gosplendid,She was so greatâ¤,2024-04-26T02:43:18Z,TRUE,positive,positive,positive,positive,positive
939,@Daxrash,"Mirror mirror on my screen, can this trailer be un-seen?",2025-02-03T12:07:57Z,FALSE,negative,negative,negative,negative,neutral
1732,@COLL4T3RAL,Yeah definitely my favorite movie franchise,2025-05-10T03:54:15Z,TRUE,positive,positive,positive,positive,positive
66,@amor2874,@@maylily820 I feel like there will be so many little winks to these details!!!,2023-05-26T03:52:22Z,TRUE,positive,positive,positive,positive,positive
1324,@chaitea3421,Absolutely sublime,2024-04-22T12:18:36Z,TRUE,positive,positive,positive,positive,positive
57,@richardbaines5740,Just over a year,2024-08-03T22:12:38Z,TRUE,neutral,neutral,neutral,neutral,neutral
1293,@iandyocampo4503,"She didnâ€™t even do anything amazing. The boba look and balloon reveal was the best part, once that was gone, the rest was mid.",2024-04-21T15:11:40Z,TRUE,negative,negative,negative,negative,neutral
1119,@Starmani-music,@@misskarina2673 the room seen in the start and end of the song is the room the original anxiety video was filmed in years ago ğŸ˜Š,2025-04-18T22:27:47Z,TRUE,positive,neutral,neutral,positive,positive
585,@lIlIIIllIlIIIllIlIIIllIlIIIl,@@DaMit123 wait until Blackpink enters the chat,2024-06-28T01:04:49Z,TRUE,neutral,neutral,neutral,positive,neutral
375,@DiamondExploration-r6d,I just love how alesha still ran away when the witch was scaring Amanda ğŸ˜‚,2024-06-13T14:37:41Z,FALSE,positive,positive,positive,positive,positive
276,@salazar556,The Witches would get a golden buzzer from me! That last act was especially awesome!,2024-04-04T19:17:22Z,FALSE,positive,positive,positive,positive,positive
747,@lavinyagabriela0811,Agreed!,2025-03-24T21:41:35Z,TRUE,positive,positive,positive,positive,positive
129,@inkchariot6147,"""If you have no strong feelings one way or the other about Barbie... I don't know, read a book or something.""",2023-05-25T17:13:12Z,TRUE,neutral,neutral,neutral,neutral,neutral
1647,@AA-ed6ek,Come on now.,2025-05-08T23:41:34Z,TRUE,neutral,neutral,neutral,neutral,neutral
1853,@jasons3935,"I didnâ€™t realize I was both crying and laughing while watching this drama. Itâ€™s truly different from other K-dramas, evoking a mix of emotions. It even brought back memories of my time in Korea, making me feel ""nostalgic"" despite being in California.""",2025-03-08T19:38:56Z,FALSE,positive,positive,positive,positive,positive
675,@zoeyd0710,I love their friendship is it is so beautiful,2025-03-08T18:06:04Z,FALSE,positive,positive,positive,positive,positive
1665,@RaleighClement,When was this released?,2025-05-10T15:30:08Z,TRUE,neutral,neutral,neutral,neutral,neutral
1982,@JohnDoe-bo5yk,"I had to find a way to praise this show. I am a grown ass man, i watch this show, in my spare time, all by myself like some weirdo. Ive laughed and ive cried a lot... its a damn good show.",2025-05-12T02:51:55Z,FALSE,positive,positive,positive,positive,positive
1084,@tarundasniper,"Very true, this is so trash",2025-05-08T03:26:53Z,TRUE,negative,negative,negative,negative,negative
1923,@MrMonishSoni,"If this series doesn't make you cry, nothing ever will.",2025-03-29T11:17:56Z,FALSE,positive,positive,positive,positive,negative
100,@dugb8343,"The fact that they made this movie the way we played Barbie as kids, making the Barbieâ€™s life perfect, making ken follow Barbie everywhere, not using the stairs in a Barbie house.",2023-05-30T19:11:44Z,FALSE,positive,positive,positive,positive,positive
1180,@gabrielag.2320,â€‹@@krecrum1983 omg yes! Her bra totally gives me anxiety too ğŸ˜…,2025-05-04T15:14:09Z,TRUE,negative,negative,negative,neutral,negative
965,@leafybean,"I paid nothing to watch this trailer, but I already want my money back.",2024-12-04T20:44:01Z,FALSE,negative,negative,negative,negative,negative
793,@GA-ik6pi,ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ no words. So powerful,2025-03-13T22:06:49Z,FALSE,positive,positive,positive,positive,positive
30,@darkacademiabutnotreally,"No, you're supposed to want to know, do that again.' I love this movie already.",2023-05-31T09:56:51Z,FALSE,positive,positive,positive,positive,positive
629,@Faust075,This was by far the very best moment of this Oscar ceremony !!! They are both magical !,2025-03-15T16:01:46Z,FALSE,positive,positive,positive,positive,positive
945,@johnnyhealer8744,"Of all the comments I've read, yours made me laugh the most ğŸ˜‚",2024-12-06T20:52:27Z,TRUE,positive,positive,positive,positive,positive
573,@Fmdk99,@@b1gthecaTafter 2 years debut she still the worst ğŸ˜‚ğŸ˜‚ğŸ˜‚,2024-05-22T14:40:47Z,TRUE,negative,negative,negative,negative,negative
908,@brianmsahin,ğŸ˜‚ğŸ˜‚Love it!!,2024-12-04T08:40:26Z,TRUE,positive,positive,positive,positive,positive
1081,@Frank-ix7jw,"@@raskasscentralI donâ€™t even have to listen to this to know that this is true. Kendrick sucks, not much of an achievement to be better than Kendrick bro",2025-05-12T22:51:28Z,TRUE,negative,negative,negative,negative,negative
451,@yenalwayschoi,"all part are good, except 1minute left..  but it's fine tho",2024-07-07T06:27:10Z,TRUE,positive,neutral,neutral,neutral,positive
1610,@frederickforgues,"Nothing lasts forever... but the impact that James Wan, Patrick Wilson, and Vera Farmiga had on the horror genre will live eternally.",2025-05-08T18:44:55Z,FALSE,positive,positive,positive,positive,neutral
1291,@rithond,"I really, really love how she paid tribute to her country from the beginning in very different and intelligent ways. She's absolutely amazing. I couldn't be happier for her winning the season. A true queen among queens.",2024-04-21T04:05:39Z,TRUE,positive,positive,positive,positive,positive
1079,@slinky911,@@raskasscentral in what f ing world ğŸ«µğŸ˜¹ you tried it,2025-05-12T19:25:13Z,TRUE,negative,negative,negative,negative,negative
255,@xElitexYTOfficial,isnt it amazing this,2025-04-15T09:40:38Z,TRUE,positive,neutral,neutral,positive,positive
125,@quawhe,i still can't believe margot robbie played both harley quinn and barbieğŸ˜­,2025-04-29T15:27:20Z,FALSE,neutral,neutral,neutral,positive,negative
1928,@Shubhangi9211,Next time when Iâ€™ll go home Iâ€™m going to watch this with my family. Iâ€™ll update how it went.,2025-03-28T19:54:25Z,FALSE,neutral,neutral,neutral,positive,neutral
252,@michellegrimm3991,"This was a phenomenal performance!!! Poor Amanda lol. The Witches definitely need their own show, whether on screen, the road or both! I definitely want to see more of them!",2023-08-21T20:52:05Z,FALSE,positive,positive,positive,positive,positive
586,@BrownJin-j8q,Thanks for a nice show I enjoy it very much ğŸ˜Š,2025-04-14T10:48:44Z,FALSE,positive,positive,positive,positive,positive
1569,@fifi237,The groomâ€™s performance in this is underrated â¤ï¸â€ğŸ”¥,2024-11-18T22:36:41Z,FALSE,positive,positive,positive,positive,positive
825,@person05-x4h,"""The snow white trailer just dropped""  ""Tell disney to pick it back up""",2025-03-09T04:10:29Z,FALSE,negative,negative,negative,negative,neutral
508,@elizabeth4689,they busted a couple notes at the end but most of the performance is fine - chaewon really carrying,2024-05-28T06:37:52Z,FALSE,neutral,neutral,neutral,neutral,positive
890,@Facciosolofiguredicacca,7 spams of CGI and suffering,2025-02-02T18:59:33Z,TRUE,negative,negative,negative,negative,negative
71,@thewall283,"Ryan said this was the best script he'd read in a long time. I think he gets the satirical humor in the story and I think this is why this will work as a movie for everyone, not just kids.",2023-05-25T18:45:39Z,TRUE,positive,positive,positive,positive,positive
1609,@akkibajaj705,Only first 2 were good imo. Hope this one is great too,2025-05-08T16:05:35Z,TRUE,neutral,neutral,neutral,positive,positive
1533,@91clarie,Is it supposed to be funny or something?,2024-10-28T12:58:29Z,TRUE,negative,negative,negative,neutral,neutral
248,@wsg8504,My last name is Shakespeare ğŸ˜Š,2025-05-06T23:40:45Z,TRUE,positive,positive,positive,positive,positive
1451,@mandihoward5261,@@donnellcoleman7784itâ€™s cuz guys always say â€œsheâ€™s just a friendâ€ and they are actually messing around lolğŸ˜Š,2024-11-21T13:10:48Z,TRUE,negative,negative,negative,negative,neutral
213,@Platerpus7,They arenâ€™t in character,2023-03-21T14:34:13Z,TRUE,negative,negative,negative,negative,negative
910,@SoulCalSiegfried,Read it in her insufferable voice.,2024-12-04T10:13:47Z,TRUE,negative,negative,negative,negative,negative
1742,@INDRIDCOLD83,Nothing tops the 80's classics.,2025-05-08T20:30:32Z,TRUE,positive,positive,positive,positive,neutral
1245,@ceciliaSF-TX,Her skipping over her stuff to get to the other side was also tricky: she could have slipped or something.,2024-04-25T05:07:57Z,TRUE,neutral,neutral,neutral,neutral,negative
1697,@SuperBobby47,Same! Even the spin-off franchises Annabelle and The Nun,2025-05-09T05:52:09Z,TRUE,neutral,neutral,neutral,neutral,neutral
1183,@AnonymousUsername3728,You forgot to put a period at the end of your sentence and also forgot to capitalize the first word of your sentence.,2025-04-19T05:21:43Z,TRUE,neutral,negative,negative,neutral,negative
362,@danieldmyers,@@theAwakeningimpulse ily,2023-03-29T18:29:07Z,TRUE,positive,positive,positive,positive,positive
1474,@petiapotato,@@inrememberanceofmarc people like you who bring politics into everything for no reason will never not be funny to me lol,2024-11-15T05:30:44Z,TRUE,negative,negative,negative,negative,negative
679,@newdayze3717,After reading your comment I saw it. So beautiful ğŸ˜ Thanks for pointing that out!,2025-04-12T23:36:07Z,TRUE,positive,positive,positive,positive,positive
1622,@Dodo-x9b3g,"â€‹@@septomj phase? Wym , so ur telling me they are going to make different franchises?",2025-05-08T18:14:46Z,TRUE,neutral,neutral,neutral,neutral,neutral
1090,@magictrio7663,â€‹@@HasuraArtZYT3733 This song is taking somebody that I used to know and shitting all over it,2025-05-13T22:28:08Z,TRUE,negative,negative,negative,negative,negative
1988,@roshanro1,The Sole masterpiece Then... Now...Forever in all our hearts â¤â€ğŸ”¥ğŸ’ğŸ¥¹,2025-05-02T17:52:57Z,FALSE,positive,positive,positive,positive,positive
1848,@maxchau6973,"When I realized the number of episodes this series had, I was initially hesitant, but Iâ€™m currently on episode 13 and canâ€™t help but wish it would never end and be given an endless number of seasons. Koreans have truly mastered this genre. UI did a commendable job, but the star of the show is its profound understanding of nostalgia and the exceptional makeup talents that make each character who has aged look incredibly realistic. Throw Emmys awards and blessings to all who pulled this off",2025-04-03T15:53:10Z,FALSE,positive,positive,positive,positive,positive
988,@SilverTrooth,Iâ€™m ab to finish mine this is inspiration,2025-02-26T15:13:54Z,TRUE,positive,positive,positive,positive,positive
1513,@missimin,It's in my head plus I keep going back to watch it again.  It's funny every time.,2024-10-17T05:12:36Z,TRUE,positive,positive,positive,positive,positive
112,@SoniasWay,"â€œHumans only have one ending, ideas live foreverâ€. Greta Gerwig is making a masterpiece!",2023-05-25T18:22:30Z,FALSE,positive,positive,positive,positive,positive
1488,@impulsiveliar,@@06kshxunthatâ€™s the point,2024-10-15T20:08:56Z,TRUE,neutral,neutral,neutral,neutral,neutral
1454,@agentbananauk,What does it mean? I'm French and the joke is over my head!,2024-10-16T13:32:36Z,TRUE,neutral,neutral,neutral,neutral,negative
384,@Thuzw,Losing the phone number of my plastic surgeon is wild ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,2025-04-18T05:27:02Z,FALSE,neutral,neutral,neutral,positive,negative
1396,@yoyosha3384,"Exactly lmao! Morphine was getting her life and dawn was surprised and gagged during the handstand against wall and saying to MEGAMI, she might win now",2024-04-21T01:51:33Z,TRUE,positive,positive,positive,positive,neutral
1055,@Ted321-f5q,its literal ass,2025-05-09T15:00:11Z,TRUE,negative,negative,negative,negative,negative
756,@chancedaniel6085,A true powerhouse â¤,2025-05-08T02:47:18Z,FALSE,positive,positive,positive,positive,positive
325,@Bildpixel,"let's be honest, this preformance is simply terrific",2023-12-01T13:58:45Z,FALSE,positive,positive,positive,positive,positive
1624,@QuanNguyen-bk4pn,"Nothing will ever beat that clap in the first Conjuring. Never seen any jumpscare so effective, heartpounding and yet hilarious at the same time.",2025-05-09T11:39:04Z,FALSE,positive,positive,positive,positive,positive
788,@muhammadyutsni9715,0:06 Wait a damn minute??? Is thay ruby slippers hanging on arianaâ€™s backk???!! How can I just notice ğŸ˜­,2025-03-28T00:13:10Z,FALSE,neutral,neutral,neutral,positive,negative
369,@Tito_Tv_Pr,Yo thatâ€™s crazy I thought the same thing I said he looks like joker without makeup he would definitely make a great joker ğŸƒ,2025-02-25T22:18:20Z,TRUE,positive,positive,positive,positive,positive
1820,@ciganyweaverandherperiwink6293,"What an incredibly beautiful comment. Thank you for being strong enough to take the time to articulate your reaction to a key part of this series-- and to reach out and offer comfort to others who may have reacted similarly to the show, for similar tragic reasons. For me, it was the detail of the little boy's feet shoved hastily into the sandals, with the heel of the little shoe pushed down to make it into a slipper. The awkward, sweet little body running in anxiety down the muddy footpath... I cried too. ""Love with nowhere to go."" Thank you.",2025-05-01T19:09:11Z,TRUE,positive,positive,positive,positive,positive
70,@DudeDoesNothing,"Never thought I'd be so excited for a Barbie movie, but alas here we are. Also Gosling as Ken is just amazing ğŸ˜‚",2023-05-25T17:37:23Z,FALSE,positive,positive,positive,positive,positive
858,@str8loco01,They spend more than 209 million.... BELIEVE THAT,2024-12-04T17:39:35Z,TRUE,neutral,neutral,neutral,negative,neutral
1484,@glentonrichards,If they donâ€™t make a movie centered around his character (a la Wayneâ€™s World) Iâ€™m going to be pissed! ğŸ˜¤ğŸ˜‚ğŸ¤£,2024-11-18T19:49:31Z,TRUE,positive,negative,negative,positive,negative
1556,@emilyn36,LMAO Iâ€™m paying rent to this song for space in my own mind. Real,2024-10-20T05:57:53Z,TRUE,positive,positive,positive,positive,neutral
1692,@eljaa2000,I agree!,2025-05-08T22:09:28Z,TRUE,positive,neutral,neutral,positive,positive
1475,@cranburrey,@@petiapotato Fr because what does voting for Trump have to do w/ them ğŸ’€ğŸ’€,2024-11-18T23:49:13Z,TRUE,negative,neutral,neutral,negative,negative
1799,@EducateOwl,The Conjuring Universe has been one of my favorite movie franchises.  Super excited to see this finale.,2025-05-08T16:40:27Z,FALSE,positive,positive,positive,positive,positive
479,@Bigolwhale,You're a liar if you say you wouldn't be hyped if you were there. Yes there were some weaker moments but they brought so much energy the WHOLE performance and yunjin ate imo. I also think Sakura did pretty well too even though she omly had one line.,2025-03-24T05:39:18Z,FALSE,positive,positive,positive,positive,positive
282,@poopstain9333,"@@roguerevert Thats 256 different outcomes, you really think he knows them all out of  his head? And switch to that exact page? Besides that, they are reading from the first pages of the book, how big is the chance the outcome of 1 out of 256 is on that first flipped page :)  The colored cards with the numbers are more suspicious to me, they are easier to switch around somehow.",2025-04-03T20:41:26Z,TRUE,negative,neutral,neutral,neutral,negative
1648,@AA-ed6ek,@@jesusriced They're good movies but not scary.,2025-05-08T23:42:05Z,TRUE,positive,neutral,neutral,neutral,positive
1557,@ramirezproductions0826,This sketch may be the closest thing we get to a non-AI cover of Espresso by Ariana Grande. ğŸ¤£,2024-10-13T05:33:29Z,FALSE,neutral,positive,positive,positive,positive
1730,@spencerhack3321,Could have said this better myself . Iâ€™m so freaking excited for this !!!,2025-05-10T00:31:29Z,TRUE,positive,positive,positive,positive,positive
211,@Henley_Studios,@@luminous9395definitely a guy,2024-12-09T05:17:12Z,TRUE,neutral,neutral,neutral,neutral,neutral
298,@rahulgautam3275,This guy deserves an Oscar! Far better than many Bollywood actors ğŸ˜‚,2023-06-27T08:13:11Z,FALSE,positive,positive,positive,positive,positive
1885,@happytree5790,ParkBoGum ğŸ’• bogummy ğŸ˜,2025-02-21T02:03:13Z,FALSE,positive,positive,positive,positive,positive
1834,@aligned_and_obsessed,Ikr! Everything about it was perfect and so real! I just finished it now and my eyes are so puffy ğŸ˜­,2025-04-14T19:10:10Z,TRUE,positive,positive,positive,positive,positive
652,@zoeyd0710,This song makes me emotional especially when Cynthia sings it.  It literally gives me chills,2025-03-26T11:36:03Z,FALSE,positive,positive,positive,positive,positive
1234,@vin37447,Nymphia never walked in front of Sapphira or tried to distract her. My eyes just automatically glued to herğŸ¥¹ğŸ¥¹ğŸ¥¹ğŸ‘‘,2024-04-21T14:30:30Z,FALSE,positive,positive,positive,positive,neutral
1503,@kaylaskingdom3693,literally,2024-10-27T03:27:49Z,TRUE,neutral,neutral,neutral,neutral,neutral
1932,@rosieglamera,Best drama i have ever watched it includes everything from grandparents to parents their kids neighborhood especially 3 gen of mother's ğŸ˜¢ thankyou so much for the creators of this drama â¤ï¸,2025-03-22T19:31:11Z,FALSE,positive,positive,positive,positive,positive
,,,,,,89,81%,81%,76%